survey,subclass,plate,mjd,fiberid
boss,B5 (338529),6262,56267,650
boss,B5 (338529),6262,56267,670
boss,B5 (338529),4778,55706,766
boss,B5III (209419),4778,55706,778
boss,B5 (338529),4551,55569,394
boss,B5V (173087),6725,56390,534
boss,B9Vn (177756),6725,56390,580
sdss,B9,1715,54212,578
boss,B9Vn (177756),5374,55947,468
boss,B3V (29763),6032,56067,12
boss,B8IV (171301),4348,55559,724
boss,B8IV (171301),6262,56267,768
boss,B8Ib (208501),5740,55998,674
boss,B2.5V (175426),5740,55998,746
boss,B5 (338529),5740,55998,750
boss,B8III (220575),6009,56313,796
boss,B9III (15318),6009,56313,811
boss,B5 (338529),7123,56726,730
boss,B5 (338529),7123,56726,784
sdss,B9,1050,52721,527
boss,B8IV (171301),6758,56415,826
boss,B3II (175156),6758,56415,834
boss,B5 (338529),4608,55973,752
boss,B5 (338529),5726,56626,870
boss,B5 (338529),5726,56626,895
boss,B5 (338529),6009,56313,922
boss,B5 (338529),6009,56313,926
sdss,B6,2527,54569,72
sdss,B9,291,51928,478
segue1,B9,2560,54205,402
segue1,B9,1963,54331,408
boss,B9Vn (177756),4778,55706,936
boss,B5 (338529),6736,56366,752
boss,B3V (29763),6736,56366,888
boss,B5Ib (191243),5068,55749,104
boss,B5 (338529),6737,56365,98
boss,B8IV (171301),4077,55361,755
boss,B5 (338529),6010,56097,198
boss,B9 (105262),4381,55824,804
boss,B3V (29763),4609,56251,196
boss,B3II (175156),6274,56550,174
boss,B3V (29763),7147,56574,998
sdss,B9,313,51673,381
boss,B5 (338529),6475,56337,780
boss,B8IV (171301),4360,55539,144
sdss,B9,1396,53112,458
boss,B3II (175156),6475,56337,896
boss,B5III (209419),6475,56337,919
boss,B5 (338529),5728,56334,326
boss,B3V (29763),3830,55574,702
boss,B9.5V+... (37269),3830,55574,782
boss,B5III (209419),4789,55923,993
boss,B5 (338529),7124,56720,339
sdss,B9,1363,53053,426
boss,B0.5Ibe... (187459),4562,55570,614
boss,B5 (338529),6010,56097,344
sdss,B6,1986,53475,444
boss,B5 (338529),6507,56478,648
boss,B3II (175156),3830,55574,804
boss,B5 (338529),3830,55574,810
boss,B8Ib (208501),4779,55656,252
boss,B5 (338529),4779,55656,284
boss,B5III (209419),6010,56097,502
boss,B5 (338529),4078,55358,250
sdss,B6,1398,53146,108
boss,B8III (220575),6033,56069,474
boss,B2IV-V (176819),6033,56069,492
segue1,B6,2563,54653,266
sdss,B6,2510,53877,174
boss,B5III (209419),6010,56097,688
segue2,B6,3442,54983,160
boss,B0IVe (5394),4382,55742,701
boss,B9III (15318),6033,56069,830
boss,B6IV (174959),6726,56394,119
boss,B5 (338529),5999,56089,152
boss,B9Vn (177756),5999,56089,250
boss,B5 (338529),3830,55574,884
boss,B9III (15318),4562,55570,874
segue1,B9,2871,54536,48
sdss,B9,2241,54169,445
boss,B0.5Ibe... (187459),6274,56550,800
boss,B9.5V+... (37269),5785,56269,516
boss,B5 (338529),4383,55881,46
boss,B5 (338529),4065,55368,504
boss,B2IV-V (176819),4065,55368,512
boss,B5Ib (191243),5728,56334,538
boss,B5 (338529),7124,56720,512
segue2,B6,3442,54983,276
boss,B3II (175156),3841,56016,414
boss,B9III (15318),5743,56011,326
boss,B8III (220575),5056,55921,468
boss,B9.5V+... (37269),6476,56358,270
sdss,B9,2528,54571,599
sdss,B9,1683,53436,113
sdss,B9,1683,53436,191
boss,B3V (29763),4078,55358,420
boss,B5 (338529),4360,55539,656
boss,B3V (29763),6034,56103,95
boss,B2III (35468),5785,56269,946
boss,B9Vn (177756),6034,56103,282
boss,B9.5V+... (37269),4078,55358,580
boss,B9Vn (177756),4360,55539,781
boss,B5 (338529),5377,55957,52
boss,B2III (35468),5377,55957,62
boss,B5 (338529),5377,55957,78
boss,B9Vn (177756),4383,55881,808
boss,B2.5V (175426),4065,55368,794
boss,B2IV-V (176819),6275,56245,170
sdss,B6,783,52325,505
boss,B8Ib (208501),6263,56279,298
boss,B5 (338529),5342,56003,308
boss,B5 (338529),4779,55656,377
boss,B3II (175156),3863,55280,110
boss,B3II (175156),3831,55543,138
boss,B8IV (171301),3831,55543,164
boss,B9.5V+... (37269),4349,55803,490
boss,B9III (15318),7124,56720,972
boss,B0.5Ibe... (187459),6011,56103,260
sdss,B9,1052,52466,194
boss,B5 (338529),7150,56597,678
boss,B5 (338529),5377,55957,828
boss,B5 (338529),5377,55957,836
boss,B3II (175156),5377,55957,972
boss,B5 (338529),6035,56076,144
boss,B5V (173087),5728,56334,666
boss,B3Ib/II (51309),5728,56334,670
sdss,B9,2242,54153,173
boss,B2IV-V (176819),6011,56103,521
boss,B5III (209419),6011,56103,522
boss,B3II (175156),3863,55280,452
boss,B5III (209419),7110,56746,905
boss,B2Vne (58343),3841,55572,950
boss,B5 (338529),5743,56011,759
sdss,B6,1052,52466,436
boss,B3V (29763),4361,55831,286
boss,B5 (338529),6275,56245,839
boss,B9Vn (177756),4384,56105,914
boss,B9.5V+... (37269),5378,56011,718
boss,B9.5V+... (37269),5378,56011,730
boss,B3V (29763),4779,55656,580
boss,B5III (209419),5743,56011,914
boss,B5 (338529),5743,56011,918
boss,B3II (175156),4611,55603,447
boss,B3II (175156),4611,55603,504
boss,B2IV-V (176819),3864,55649,4
boss,B5III (209419),3842,55565,129
boss,B3Ib/II (51309),6738,56424,596
boss,B3Ib/II (51309),6488,56364,312
boss,B3II (175156),3842,55565,270
boss,B3Ib/II (51309),5745,55998,61
boss,B2III (35468),6738,56424,866
boss,B5III (209419),6036,56093,419
boss,B3II (175156),6036,56093,434
boss,B3Ib/II (51309),6726,56394,714
boss,B5 (338529),6726,56394,752
boss,B3V (29763),6011,56103,914
boss,B5III (209419),3842,55565,348
boss,B5 (338529),6299,56478,784
sdss,B9,1091,52902,259
sdss,B6,282,51658,110
boss,B9III (15318),4079,55363,22
boss,B9Vn (177756),7111,56741,174
boss,B2.5V (175426),4779,55656,750
boss,B9III (15318),4079,55363,260
sdss,B9,1053,52468,400
boss,B9III (15318),7152,56660,208
boss,B9.5V+... (37269),4386,55540,344
boss,B5 (338529),4386,55540,384
boss,B5 (338529),6488,56364,658
boss,B5 (338529),6300,56449,652
boss,B3V (29763),4177,55688,670
boss,B3V (29763),4177,55688,710
boss,B5III (209419),4386,55540,521
sdss,B9,508,52366,197
boss,B5III (209419),6263,56279,902
sdss,B9,785,52339,630
boss,B5 (338529),3842,55565,766
boss,B5 (338529),6780,56267,795
boss,B5 (338529),5342,56003,736
sdss,B9,2532,54589,296
boss,B0.5Ibe... (187459),6488,56364,940
sdss,B6,1053,52468,614
boss,B9.5V+... (37269),4386,55540,800
boss,B9III (15318),4386,55540,812
sdss,B6,1093,52591,547
boss,B8IV (171301),6511,56540,715
boss,B5 (338529),6300,56449,942
boss,B5 (338529),4386,55540,972
boss,B8III (220575),4066,55444,766
boss,B9Vn (177756),5057,56209,350
boss,B5III (209419),6489,56329,14
segue1,B9,2872,54533,497
sdss,B9,293,51689,572
sdss,B6,2532,54589,451
boss,B9Vn (177756),5355,56009,419
boss,B9III (15318),5106,55833,70
boss,B5 (338529),5380,55980,264
boss,B5Ib (191243),4066,55444,840
boss,B5 (338529),5342,56003,962
boss,B5Ib (191243),4362,55828,654
boss,B7IVe (209409),4362,55828,690
boss,B8IV (171301),4362,55828,758
boss,B9III (15318),6739,56393,526
boss,B8Ib (208501),5355,56009,590
boss,B2III (35468),5789,56246,848
boss,B5III (209419),3865,55272,48
boss,B5III (209419),4350,55556,368
boss,B9Vn (177756),4350,55556,396
boss,B5 (338529),4350,55556,410
boss,B3II (175156),4350,55556,532
boss,B5 (338529),6476,56358,838
boss,B2III (35468),6512,56567,364
boss,B9 (105262),6512,56567,402
boss,B2IV-V (176819),5057,56209,476
boss,B0IVe (5394),5745,55998,423
boss,B5 (338529),4362,55828,836
boss,B5III (209419),4613,55591,667
boss,B5 (338529),5790,56271,676
boss,B5 (338529),5790,56271,678
boss,B2Iaevar (41117),5790,56271,680
boss,B8Ib (208501),5729,56598,403
boss,B3Ve (25940),6000,56102,154
boss,B1Ve (212571),6276,56269,610
boss,B8IV (171301),6276,56269,622
boss,B9III (15318),5729,56598,686
sdss,B9,1991,53446,123
boss,B5 (338529),4080,55471,64
sdss,B6,1405,52826,254
segue1,B9,2915,54497,617
boss,B3II (175156),5131,55835,702
boss,B5 (338529),5729,56598,692
boss,B2.5V (175426),6037,56106,518
boss,B9III (15318),4840,55690,342
boss,B5 (338529),5057,56209,648
boss,B9Vn (177756),4565,55591,912
boss,B5 (338529),3843,55278,302
boss,B5 (338529),3843,55278,304
boss,B2IV-V (176819),3843,55278,312
boss,B9Vn (177756),3843,55278,322
boss,B2IV-V (176819),6513,56543,494
sdss,B6,820,52433,50
boss,B5 (338529),3832,55289,173
boss,B1Ve (212571),3832,55289,176
segue1,B6,2916,54507,617
boss,B9 (105262),6013,56074,408
boss,B5Ib (191243),5106,55833,907
boss,B9Vn (177756),6489,56329,781
boss,B8III (220575),7159,56603,186
boss,B8IV (171301),6303,56539,168
boss,B2III (35468),7111,56741,974
boss,B9III (15318),7111,56741,984
boss,B9.5V+... (37269),7111,56741,992
boss,B2Vne (58343),6000,56102,454
boss,B9Vn (177756),3843,55278,570
boss,B9III (15318),3843,55278,492
segue1,B6,2874,54561,242
boss,B5 (338529),4363,55537,506
boss,B5 (338529),4388,55536,700
boss,B5 (338529),4388,55536,732
boss,B5 (338529),5792,56269,11
boss,B3Ib/II (51309),7111,56741,998
boss,B8IV (171301),7128,56567,328
boss,B2III (35468),6277,56273,20
boss,B0.5Ibe... (187459),5132,55858,696
boss,B5 (338529),5382,55982,846
sdss,B6,2512,53877,205
sdss,B9,2512,53877,256
boss,B2IV-V (176819),7128,56567,495
boss,B0.5Ibe... (187459),7128,56567,572
boss,B3V (29763),4067,55361,308
boss,B8III (220575),5766,56248,300
boss,B3II (175156),3867,55652,888
sdss,B9,1408,52822,15
boss,B9.5V+... (37269),5766,56248,358
boss,B2.5V (175426),6013,56074,764
boss,B5 (338529),6013,56074,798
boss,B8Ib (208501),3868,55360,438
boss,B5 (338529),4351,55538,267
boss,B9III (15318),7161,56625,294
boss,B2III (35468),4389,55539,914
boss,B5 (338529),4390,55948,75
boss,B2IV-V (176819),4351,55538,351
boss,B5 (338529),4351,55538,376
boss,B9Vn (177756),3832,55289,260
boss,B5 (338529),3832,55289,274
boss,B3V (29763),3832,55289,278
boss,B5 (338529),6277,56273,620
boss,B3V (29763),6277,56273,642
boss,B3II (175156),6277,56273,700
boss,B9.5V+... (37269),4390,55948,258
boss,B9III (15318),4390,55948,266
boss,B2.5V (175426),4351,55538,387
boss,B3Ib/II (51309),4351,55538,408
boss,B5 (338529),5343,55999,894
boss,B5 (338529),5343,55999,926
sdss,B6,1057,52522,104
boss,B0.5Ibe... (187459),5384,55984,270
boss,B5 (338529),5134,55868,700
boss,B5 (338529),7112,56666,190
boss,B5 (338529),7112,56666,218
boss,B5 (338529),5108,55888,456
segue1,B9,2876,54581,271
boss,B3V (29763),5134,55868,795
boss,B2IV-V (176819),3869,55273,292
boss,B3II (175156),3869,55273,294
boss,B5 (338529),3869,55273,296
boss,B0.5Ibe... (187459),4351,55538,492
boss,B5 (338529),6000,56102,968
boss,B5 (338529),6000,56102,992
boss,B5 (338529),5357,55956,796
boss,B5 (338529),5357,55956,801
sdss,B9,1688,53462,46
boss,B8IV (171301),6305,56563,800
boss,B1Ve (212571),6014,56072,536
boss,B3Ib/II (51309),5384,55984,692
boss,B9.5V+... (37269),6305,56563,967
boss,B2.5V (175426),4780,55682,748
boss,B5III (209419),4780,55682,786
boss,B9Vn (177756),4780,55682,800
boss,B5 (338529),4566,55630,826
boss,B9Vn (177756),6516,56571,532
boss,B5 (338529),3651,55247,400
boss,B9Vn (177756),3651,55247,412
boss,B9Vn (177756),3651,55247,416
boss,B9III (15318),4365,55539,202
boss,B8IV (171301),4365,55539,232
boss,B5 (338529),4365,55539,234
boss,B5Ib (191243),3844,55321,507
boss,B1Ve (212571),4365,55539,294
boss,B2IV-V (176819),6040,56101,504
boss,B5Ib (191243),6306,56535,400
boss,B5 (338529),6491,56337,208
boss,B5 (338529),6015,56096,65
boss,B3Ib/II (51309),4081,55365,270
boss,B9Vn (177756),5358,56016,92
boss,B9III (15318),5385,55960,476
boss,B8IV (171301),5794,56282,660
boss,B2III (35468),5344,55924,803
boss,B9 (105262),6001,56072,122
boss,B5 (338529),3844,55321,712
boss,B5 (338529),3844,55321,716
boss,B9.5V+... (37269),6015,56096,399
boss,B3II (175156),6015,56096,436
boss,B6IV (174959),5358,56016,366
boss,B3Ib/II (51309),4618,55600,315
boss,B5 (338529),6306,56535,702
boss,B5 (338529),4781,55653,36
boss,B8IV (171301),5766,56248,902
boss,B5III (209419),5766,56248,907
boss,B5 (338529),5766,56248,945
boss,B9 (105262),4391,55866,694
boss,B2.5V (175426),5136,55836,298
boss,B8Ib (208501),5058,56208,588
boss,B5 (338529),3844,55321,812
segue1,B9,2877,54523,374
boss,B8IV (171301),6740,56401,708
boss,B8IV (171301),6741,56394,102
boss,B2IV-V (176819),6741,56394,126
boss,B2IV-V (176819),5136,55836,346
boss,B1Ve (212571),5058,56208,678
boss,B3Ib/II (51309),6740,56401,828
boss,B3V (29763),6740,56401,862
boss,B9Vn (177756),6015,56096,590
boss,B2IV-V (176819),6478,56341,166
boss,B5 (338529),6478,56341,318
boss,B2IV-V (176819),7129,56569,987
boss,B5 (338529),4081,55365,904
segue1,B6,2248,53558,172
sdss,B6,1371,52821,23
boss,B5 (338529),4567,55589,806
boss,B3II (175156),5730,56607,654
boss,B9III (15318),4351,55538,922
boss,B8III (220575),4351,55538,962
boss,B5 (338529),4352,55533,10
boss,B2Ve (164284),6728,56426,572
boss,B2IV-V (176819),6278,56266,688
boss,B5III (209419),4081,55365,976
boss,B5 (338529),4366,55536,210
boss,B2Vne (58343),6742,56415,248
boss,B9Vn (177756),6015,56096,950
boss,B5III (209419),6742,56415,406
boss,B5 (338529),6518,56567,280
boss,B5 (338529),5796,56274,464
sdss,B9,1350,52786,579
boss,B3II (175156),4366,55536,326
boss,B9Vn (177756),5767,56245,420
boss,B5 (338529),6016,56073,68
boss,B1Ve (212571),4366,55536,366
boss,B2IV-V (176819),4366,55536,402
boss,B5 (338529),3845,55323,71
segue1,B6,2248,53558,418
boss,B5 (338529),5767,56245,478
boss,B5 (338529),5059,56190,92
boss,B8Ib (208501),6001,56072,716
boss,B3II (175156),6016,56073,104
boss,B3Ib/II (51309),6016,56073,164
boss,B0IVe (5394),6491,56337,718
boss,B5III (209419),5767,56245,726
sdss,B9,2514,53882,382
boss,B2.5V (175426),3833,55290,130
boss,B3II (175156),6742,56415,836
boss,B3II (175156),6278,56266,997
boss,B9III (15318),4068,55445,322
boss,B5 (338529),4068,55445,342
boss,B9Vn (177756),5138,55830,263
boss,B8IV (171301),4068,55445,462
boss,B9III (15318),6016,56073,732
boss,B5 (338529),4568,55600,386
boss,B5 (338529),4394,55924,146
boss,B5 (338529),4394,55924,177
boss,B2IV-V (176819),4352,55533,360
boss,B3V (29763),5109,55892,706
boss,B3V (29763),3873,55277,163
boss,B2Vne (202904),5138,55830,784
boss,B2Vne (58343),5388,55983,414
boss,B5V (173087),4621,55649,184
sdss,B9,2228,53818,579
boss,B8IV (171301),4366,55536,578
boss,B9Vn (177756),3873,55277,332
boss,B3Ib/II (51309),6001,56072,860
boss,B2IV-V (176819),6492,56362,546
boss,B5 (338529),3845,55323,722
boss,B5III (209419),3845,55323,740
boss,B5 (338529),3845,55323,760
boss,B9III (15318),6280,56570,37
boss,B2IV-V (176819),4186,55691,412
boss,B5 (338529),4068,55445,778
boss,B5 (338529),3846,55327,81
boss,B5 (338529),3846,55327,92
boss,B5 (338529),6280,56570,210
boss,B5 (338529),5360,55983,438
boss,B5 (338529),3873,55277,904
boss,B5 (338529),6002,56104,182
boss,B5 (338529),3833,55290,298
boss,B5 (338529),3833,55290,304
boss,B8IV (171301),3833,55290,310
boss,B1Ve (212571),3587,55182,280
boss,B0IVe (5394),4796,55924,24
boss,B5 (338529),5389,55953,322
boss,B2IV-V (176819),5389,55953,326
boss,B5 (338529),4621,55649,876
boss,B9.5V+... (37269),3874,55280,238
boss,B9III (15318),4394,55924,963
boss,B5 (338529),6479,56364,254
boss,B5Ib (191243),6479,56364,277
boss,B9Vn (177756),4069,55365,294
boss,B5 (338529),4069,55365,305
boss,B5III (209419),6492,56362,772
boss,B5 (338529),6492,56362,784
boss,B5 (338529),6743,56385,678
boss,B5 (338529),6044,56090,612
boss,B5 (338529),3874,55280,658
boss,B8IV (171301),3874,55280,690
boss,B5 (338529),3833,55290,784
boss,B5 (338529),6743,56385,707
boss,B5 (338529),3846,55327,398
boss,B5III (209419),3846,55327,404
boss,B3II (175156),5798,56326,956
boss,B9Vn (177756),4850,55929,116
boss,B9Vn (177756),6729,56419,220
boss,B9III (15318),6729,56419,230
boss,B9Vn (177756),6479,56364,312
boss,B2IV-V (176819),7113,56711,478
boss,B5 (338529),3846,55327,436
boss,B8IV (171301),6493,56338,6
boss,B5 (338529),3846,55327,490
boss,B9III (15318),3846,55327,510
boss,B5 (338529),6729,56419,256
boss,B9Vn (177756),6729,56419,312
boss,B5III (209419),6017,56075,880
boss,B5 (338529),6743,56385,906
boss,B2IV-V (176819),5390,56002,310
boss,B2IV-V (176819),4187,55693,924
sdss,B9,1671,53446,154
boss,B5 (338529),5110,55913,646
boss,B5 (338529),5110,55913,729
boss,B2IV-V (176819),3587,55182,676
boss,B5 (338529),3587,55182,688
boss,B5 (338529),5390,56002,702
boss,B9.5V+... (37269),5059,56190,571
boss,B2III (35468),5731,56363,448
boss,B2IV-V (176819),6002,56104,983
boss,B9III (15318),4083,55443,441
boss,B9.5V+... (37269),3846,55327,698
boss,B2.5V (175426),3846,55327,724
boss,B9.5V+... (37269),4850,55929,968
boss,B5III (209419),6787,56447,418
boss,B0.5Ibe... (187459),5799,56325,906
boss,B9III (15318),4396,55829,448
boss,B8IV (171301),4555,56189,276
boss,B8Ib (208501),6018,56067,40
boss,B2IV-V (176819),6744,56399,34
boss,B2.5V (175426),6744,56399,78
boss,B5 (338529),3846,55327,794
boss,B3II (175156),3846,55327,876
boss,B5 (338529),3846,55327,882
boss,B5 (338529),3846,55327,920
boss,B5 (338529),3846,55327,800
boss,B2.5V (175426),3846,55327,837
boss,B3II (175156),6281,56295,92
boss,B5 (338529),5110,55913,764
boss,B9Vn (177756),5391,56000,32
boss,B9Vn (177756),4352,55533,728
boss,B5 (338529),4352,55533,784
sdss,B6,2882,54498,490
segue1,B9,2930,54589,459
boss,B5III (209419),6045,56072,646
boss,B5 (338529),4352,55533,818
boss,B5 (338529),5731,56363,610
boss,B5 (338529),5731,56363,612
boss,B5III (209419),5346,55955,10
boss,B3II (175156),5731,56363,698
boss,B3II (175156),6018,56067,485
boss,B5 (338529),6018,56067,507
boss,B5 (338529),6018,56067,516
boss,B5 (338529),4569,55631,446
boss,B5V (173087),7166,56602,878
boss,B3V (29763),6266,56223,666
boss,B5 (338529),6266,56223,696
boss,B5 (338529),6266,56223,714
boss,B5 (338529),6744,56399,178
boss,B3II (175156),4569,55631,450
boss,B1Ve (212571),4083,55443,597
boss,B5 (338529),4083,55443,602
boss,B5 (338529),4083,55443,604
boss,B8IV (171301),3588,55184,472
boss,B9III (15318),3588,55184,500
boss,B5 (338529),4189,55679,118
boss,B5 (338529),4569,55631,822
boss,B2IV-V (176819),6018,56067,766
boss,B9Vn (177756),6281,56295,432
boss,B6IV (174959),6313,56460,38
boss,B2IV-V (176819),4189,55679,418
boss,B8IV (171301),4397,55921,764
boss,B5 (338529),4189,55679,746
sdss,B9,1117,52885,249
boss,B5III (209419),6494,56363,450
boss,B5 (338529),6018,56067,839
sdss,B9,1743,53054,94
boss,B9.5V+... (37269),4398,55946,26
boss,B3II (175156),4624,55654,474
boss,B2III (35468),4398,55946,120
segue1,B6,2857,54453,82
boss,B2IV-V (176819),4190,55686,434
boss,B8III (220575),3847,55588,480
boss,B5 (338529),3847,55588,486
boss,B9III (15318),4781,55653,856
boss,B9Vn (177756),4781,55653,866
boss,B5 (338529),4781,55653,940
boss,B8IV (171301),4353,55532,162
boss,B9Vn (177756),5346,55955,814
boss,B2.5V (175426),5392,56010,915
boss,B3II (175156),5142,55825,723
boss,B2IV-V (176819),5142,55825,736
sdss,B6,2884,54526,276
boss,B9III (15318),5393,55946,478
boss,B9Vn (177756),6266,56223,814
boss,B5 (338529),7113,56711,826
boss,B5 (338529),6744,56399,829
boss,B5Ib (191243),3589,55186,5
boss,B5III (209419),6744,56399,928
boss,B5III (209419),4570,55623,400
boss,B2III (35468),5111,55840,952
boss,B9.5V+... (37269),3847,55588,960
boss,B9.5V+... (37269),3848,55647,6
boss,B5 (338529),3848,55647,8
boss,B1Ve (212571),3848,55647,14
segue1,B6,2253,54551,144
boss,B2.5Ve (187811),3848,55647,28
boss,B5 (338529),3848,55647,31
boss,B5Ib (191243),3848,55647,42
boss,B5 (338529),3848,55647,60
boss,B5 (338529),3848,55647,81
boss,B9III (15318),3848,55647,131
boss,B0IVe (5394),5143,55828,678
boss,B9.5V+... (37269),5143,55828,708
boss,B5 (338529),5732,56326,326
boss,B6IV (174959),4570,55623,608
boss,B8III (220575),4570,55623,730
boss,B8IV (171301),4570,55623,780
boss,B9III (15318),3662,55182,376
sdss,B6,793,52370,462
boss,B3II (175156),4626,55647,228
boss,B2.5V (175426),3834,56014,260
boss,B9Vn (177756),4782,55654,60
boss,B5Ib (191243),4782,55654,72
sdss,B9,1673,53462,202
boss,B3V (29763),6495,56339,520
boss,B5III (209419),3878,55361,370
boss,B3Ib/II (51309),7183,56658,179
boss,B8IV (171301),6048,56072,272
boss,B2IV-V (176819),6530,56537,476
boss,B9.5V+... (37269),4782,55654,266
sdss,B9,1377,53050,211
sdss,B6,794,52376,468
boss,B5 (338529),4353,55532,660
boss,B5 (338529),7113,56711,864
boss,B0IVe (5394),4368,55559,81
boss,B3Ib/II (51309),3848,55647,357
boss,B8IV (171301),3848,55647,371
boss,B3II (175156),3848,55647,372
boss,B3II (175156),6789,56401,660
